name,link,year_of_birth,year_of_death,date_of_death,description
Spanky Manikan,/wiki/Spanky_Manikan,1942,2017,January 14,Filipino actor
Cyrille Regis,/wiki/Cyrille_Regis,1958,2017,January 14,English footballer
Hugh Wilson,/wiki/Hugh_Wilson_(director),1943,2017,January 14,American film director and television producer
Edwin Hawkins,/wiki/Edwin_Hawkins,1943,2017,January 15,American musician
Dolores O'Riordan,/wiki/Dolores_O%27Riordan,1971,2017,January 15,Irish musician
Peter Wyngarde,/wiki/Peter_Wyngarde,1927,2017,January 15,British actor
Bradford Dillman,/wiki/Bradford_Dillman,1930,2017,January 16,American actor
Dave Holland,/wiki/Dave_Holland_(drummer),1948,2017,January 16,English drummer
Oliver Ivanović,/wiki/Oliver_Ivanovi%C4%87,1953,2017,January 16,Serbian politician
Liu Zhonghua,/wiki/Liu_Zhonghua,1917,2017,January 16,Chinese navy admiral
Jo Jo White,/wiki/Jo_Jo_White,1946,2017,January 16,American basketball player
Simon Shelton,/wiki/Simon_Shelton,1966,2017,January 17,English actor
Julius Lester,/wiki/Julius_Lester,1939,2017,January 18,"American civil rights activist, writer, musician, photographer, and professor"
Lucas Mangope,/wiki/Lucas_Mangope,1923,2017,January 18,South African politician
Clara Marangoni,/wiki/Clara_Marangoni,1915,2017,January 18,Italian gymnast and Olympic silver medalist
Peter Mayle,/wiki/Peter_Mayle,1939,2017,January 18,English author
Stansfield Turner,/wiki/Stansfield_Turner,1923,2017,January 18,American admiral and academic
Anna Campori,/wiki/Anna_Campori,1917,2017,January 19,Italian actress
Olivia Cole,/wiki/Olivia_Cole,1942,2017,January 19,American actress
Dorothy Malone,/wiki/Dorothy_Malone,1924,2017,January 19,American actress
Fredo Santana,/wiki/Fredo_Santana,1990,2017,January 19,American rapper and singer-songwriter
Paul Bocuse,/wiki/Paul_Bocuse,1926,2017,January 20,French chef
Naomi Parker Fraley,/wiki/Naomi_Parker_Fraley,1921,2017,January 20,American naval machiner
Graeme Langlands,/wiki/Graeme_Langlands,1941,2017,January 20,Australian rugby player
Jim Rodford,/wiki/Jim_Rodford,1941,2017,January 20,English bass guitarist
John Coleman,/wiki/John_Coleman_(meteorologist),1934,2017,January 20,American television weatherman
Yves Afonso,/wiki/Yves_Afonso,1944,2017,January 21,French actor
Philippe Gondet,/wiki/Philippe_Gondet,1942,2017,January 21,French footballer
Tsukasa Hosaka,/wiki/Tsukasa_Hosaka,1937,2017,January 21,Japanese footballer
Jens Okking,/wiki/Jens_Okking,1939,2017,January 21,Danish actor and politician
Connie Sawyer,/wiki/Connie_Sawyer,1912,2017,January 21,American actress
Jimmy Armfield,/wiki/Jimmy_Armfield,1935,2017,January 22,English footballer and manager
Ursula K. Le Guin,/wiki/Ursula_K._Le_Guin,1929,2017,January 22,American novelist
Hugh Masekela,/wiki/Hugh_Masekela,1939,2017,January 23,South African jazz musician
Nicanor Parra,/wiki/Nicanor_Parra,1914,2017,January 23,Chilean poet
Wyatt Tee Walker,/wiki/Wyatt_Tee_Walker,1928,2017,January 23,"American pastor, civil rights leader, and theologian"
Lari White,/wiki/Lari_White,1965,2017,January 23,American country singer
Jack Ketchum,/wiki/Jack_Ketchum,1946,2017,January 24,American author
Mark E. Smith,/wiki/Mark_E._Smith,1957,2017,January 24,English singer-songwriter
Claribel Alegría,/wiki/Claribel_Alegr%C3%ADa,1924,2017,January 25,Nicaraguan poet
Neagu Djuvara,/wiki/Neagu_Djuvara,1916,2017,January 25,"Romanian historian, essayist, and philosopher"
Elizabeth Hawley,/wiki/Elizabeth_Hawley,1923,2017,January 26,American journalist
Hiromu Nonaka,/wiki/Hiromu_Nonaka,1925,2017,January 26,Japanese politician
Michael Wright,/wiki/Michael_Wright_(architect),1912,2017,January 26,Hong Kong architect
Robert McCormick Adams Jr.,/wiki/Robert_McCormick_Adams_Jr.,1926,2017,January 27,American anthropologist
Ingvar Kamprad,/wiki/Ingvar_Kamprad,1926,2017,January 27,Swedish businessman
Mort Walker,/wiki/Mort_Walker,1923,2017,January 27,American comic artist
Gene Sharp,/wiki/Gene_Sharp,1928,2017,January 28,American political scientist
Prime Minister of Moldova,/wiki/Prime_Minister_of_Moldova,1943,2017,Ion Ciubuc,7th Prime Minister of Moldova
Robert D. McWethy,/wiki/Robert_D._McWethy,1920,2017,January 29,American submarine captain
Mark Salling,/wiki/Mark_Salling,1982,2017,January 30,American actor
Clyde Scott,/wiki/Clyde_Scott,1924,2017,January 30,American football player
Azeglio Vicini,/wiki/Azeglio_Vicini,1933,2017,January 30,Italian footballer and coach
Rasual Butler,/wiki/Rasual_Butler,1979,2017,January 31,American basketball player
Ann Gillis,/wiki/Ann_Gillis,1927,2017,January 31,American actress
Leonid Kadeniuk,/wiki/Leonid_Kadeniuk,1951,2017,January 31,Ukrainian cosmonaut
Cliff Bourland,/wiki/Cliff_Bourland,1921,2017,February 1,American athlete
Dennis Edwards,/wiki/Dennis_Edwards,1943,2017,February 1,American singer
Barys Kit,/wiki/Barys_Kit,1910,2017,February 1,Belarusian-American rocket scientist
Jon Huntsman Sr.,/wiki/Jon_Huntsman_Sr.,1937,2017,February 2,American businessman and philanthropist
Joseph Polchinski,/wiki/Joseph_Polchinski,1954,2017,February 2,American theoretical physicist
Ole Thestrup,/wiki/Ole_Thestrup,1948,2017,February 2,Danish actor
Michael Harner,/wiki/Michael_Harner,1929,2017,February 3,American anthropologist and author
Károly Palotai,/wiki/K%C3%A1roly_Palotai,1935,2017,February 3,Hungarian footballer and referee
Alan Baker,/wiki/Alan_Baker_(mathematician),1939,2017,February 4,English mathematician
Edwin Jackson,/wiki/Edwin_Jackson_(American_football),1991,2017,February 4,American football player
John Mahoney,/wiki/John_Mahoney,1940,2017,February 4,British-American actor
Donald Lynden-Bell,/wiki/Donald_Lynden-Bell,1935,2017,February 5,English astrophysicist
Fedora Alemán,/wiki/Fedora_Alem%C3%A1n,1912,2017,February 6,Venezuelan singer
André Harvey,/wiki/Andr%C3%A9_Harvey_(sculptor),1941,2017,February 6,American sculptor
John Perry Barlow,/wiki/John_Perry_Barlow,1947,2017,February 7,"American internet activist, writer, and lyricist"
Mickey Jones,/wiki/Mickey_Jones,1941,2017,February 7,American musician
Pat Torpey,/wiki/Pat_Torpey,1953,2017,February 7,American drummer
Jarrod Bannister,/wiki/Jarrod_Bannister,1984,2017,February 8,Australian athlete
Reg E. Cathey,/wiki/Reg_E._Cathey,1958,2017,February 9,American actor
John Gavin,/wiki/John_Gavin,1931,2017,February 9,American actor and diplomat
István Hevesi,/wiki/Istv%C3%A1n_Hevesi,1931,2017,February 9,Hungarian Olympic water polo player
Jóhann Jóhannsson,/wiki/J%C3%B3hann_J%C3%B3hannsson,1969,2017,February 9,Icelandic film composer
Liam Miller,/wiki/Liam_Miller,1981,2017,February 9,Irish footballer
Wally Moon,/wiki/Wally_Moon,1930,2017,February 9,American baseball player
Alan R. Battersby,/wiki/Alan_R._Battersby,1925,2017,February 10,English organic chemist
Rosa Ferrer Obiols,/wiki/Rosa_Ferrer_Obiols,1960,2017,February 10,Andorran politician
Vic Damone,/wiki/Vic_Damone,1928,2017,February 11,American singer and actor
Asma Jahangir,/wiki/Asma_Jahangir,1952,2017,February 11,Pakistani human rights activist and lawyer
Jan Maxwell,/wiki/Jan_Maxwell,1956,2017,February 11,American actress
Tom Rapp,/wiki/Tom_Rapp,1947,2017,February 11,American singer-songwriter
Marty Allen,/wiki/Marty_Allen,1922,2017,February 12,American actor and comedian
Leo Falcam,/wiki/Leo_Falcam,1935,2017,February 12,5th President of the Federated States of Micronesia
Louise Latham,/wiki/Louise_Latham,1922,2017,February 12,American actress
Daryle Singletary,/wiki/Daryle_Singletary,1971,2017,February 12,American country music singer
Joseph Bonnel,/wiki/Joseph_Bonnel,1939,2017,February 13,French footballer
Chyskillz,/wiki/Chyskillz,1969,2017,February 13,"American record producer, DJ, and rapper"
Dobri Dobrev,/wiki/Dobri_Dobrev,1914,2017,February 13,Bulgarian ascetic and philanthropist
Margrethe II of Denmark,/wiki/Margrethe_II_of_Denmark,1934,2017,Prince Henrik,consort of Margrethe II of Denmark
Nini Theilade,/wiki/Nini_Theilade,1915,2017,February 13,"Danish ballet dancer, choreographer and teacher"
Ruud Lubbers,/wiki/Ruud_Lubbers,1939,2017,February 14,"Dutch politician and diplomat, Prime Minister of the Netherlands"
Morgan Tsvangirai,/wiki/Morgan_Tsvangirai,1952,2017,February 14,2nd Prime Minister of Zimbabwe
Lassie Lou Ahern,/wiki/Lassie_Lou_Ahern,1920,2017,February 15,American actress
Deryck Stapleton,/wiki/Deryck_Stapleton,1918,2017,February 16,British Royal Air Force officer
Dorothy Rungeling,/wiki/Dorothy_Rungeling,1911,2017,February 17,Canadian aviator
Günter Blobel,/wiki/G%C3%BCnter_Blobel,1936,2017,February 18,Silesian-American Nobel biologist
Didier Lockwood,/wiki/Didier_Lockwood,1956,2017,February 18,French jazz violinist
Idrissa Ouédraogo,/wiki/Idrissa_Ou%C3%A9draogo,1954,2017,February 18,Burkinabé film director
Max Desfor,/wiki/Max_Desfor,1913,2017,February 19,American photographer
Sergey Litvinov,"/wiki/Sergey_Litvinov_(athlete,_born_1958)",1958,2017,February 19,Russian Olympic hammer thrower
Yury Tyukalov,/wiki/Yury_Tyukalov,1930,2017,February 19,Russian Olympic rower
Emma Chambers,/wiki/Emma_Chambers,1964,2017,February 21,English actress
Billy Graham,/wiki/Billy_Graham,1918,2017,February 21,American evangelist
Ren Osugi,/wiki/Ren_Osugi,1951,2017,February 21,Japanese actor
Nanette Fabray,/wiki/Nanette_Fabray,1920,2017,February 22,American actress
Richard E. Taylor,/wiki/Richard_E._Taylor,1929,2017,February 22,Canadian Nobel physicist
Lewis Gilbert,/wiki/Lewis_Gilbert,1920,2017,February 23,"British film director, producer, and screenwriter"
Durward Knowles,/wiki/Durward_Knowles,1917,2017,February 23,Bahamian Olympic sailor
Bud Luckey,/wiki/Bud_Luckey,1934,2017,February 24,American actor and animator
Sridevi,/wiki/Sridevi,1963,2017,February 24,Indian actress
Benjamin Melniker,/wiki/Benjamin_Melniker,1913,2017,February 26,February 26 – Benjamin Melniker
Quini,/wiki/Quini,1949,2017,February 27,Spanish football player
Jacqueline Vaudecrane,/wiki/Jacqueline_Vaudecrane,1913,2017,February 27,French figure skater
Anatoly Lein,/wiki/Anatoly_Lein,1931,2017,March 1,Soviet-American chess grandmaster
María Rubio,/wiki/Mar%C3%ADa_Rubio,1934,2017,March 1,Mexican actress
Luigi Taveri,/wiki/Luigi_Taveri,1929,2017,March 1,Swiss motorcycle racer
Jesús López Cobos,/wiki/Jes%C3%BAs_L%C3%B3pez_Cobos,1940,2017,March 2,Spanish conductor
Gillo Dorfles,/wiki/Gillo_Dorfles,1910,2017,March 2,"Italian art critic, painter, and philosopher"
Billy Herrington,/wiki/Billy_Herrington,1969,2017,March 2,American gay pornographic actor
Carlo Ripa di Meana,/wiki/Carlo_Ripa_di_Meana,1929,2017,March 2,Italian politician
Roger Bannister,/wiki/Roger_Bannister,1929,2017,March 3,English middle-distance athlete
David Ogden Stiers,/wiki/David_Ogden_Stiers,1942,2017,March 3,American actor
Davide Astori,/wiki/Davide_Astori,1987,2017,March 4,Italian footballer
Trevor Baylis,/wiki/Trevor_Baylis,1937,2017,March 5,English inventor
Hayden White,/wiki/Hayden_White,1928,2017,March 5,American historian
John Sulston,/wiki/John_Sulston,1942,2017,March 6,British Nobel biologist and academic
March 7,/wiki/March_7,1928,2017,Millennium,President of Argentina
Milko Kelemen,/wiki/Milko_Kelemen,1924,2017,March 8,Croatian composer
Kate Wilhelm,/wiki/Kate_Wilhelm,1928,2017,March 8,American author
Oskar Gröning,/wiki/Oskar_Gr%C3%B6ning,1921,2017,March 9,German war criminal
Hubert de Givenchy,/wiki/Hubert_de_Givenchy,1927,2017,March 9,French fashion designer
Jung Jae-sung,/wiki/Jung_Jae-sung,1982,2017,March 9,South Korean badminton player
Ralf Waldmann,/wiki/Ralf_Waldmann,1966,2017,March 9,German motorcycle racer
Ken Dodd,/wiki/Ken_Dodd,1927,2017,March 11,"English comedian, singer-songwriter, and actor"
Karl Lehmann,/wiki/Karl_Lehmann,1936,2017,March 11,German cardinal
Nokie Edwards,/wiki/Nokie_Edwards,1935,2017,March 12,American musician
Ken Flach,/wiki/Ken_Flach,1963,2017,March 12,American tennis player
Craig Mack,/wiki/Craig_Mack,1970,2017,March 12,American rapper
Oleg Tabakov,/wiki/Oleg_Tabakov,1935,2017,March 12,Soviet and Russian actor
Jim Bowen,/wiki/Jim_Bowen,1937,2017,March 14,English stand-up comedian
Alfred W. Crosby,/wiki/Alfred_W._Crosby,1931,2017,March 14,American ecological historian
Marielle Franco,/wiki/Marielle_Franco,1979,2017,March 14,Brazilian activist and politician
Rubén Galván,/wiki/Rub%C3%A9n_Galv%C3%A1n_(footballer),1952,2017,March 14,Argentine footballer
Stephen Hawking,/wiki/Stephen_Hawking,1942,2017,March 14,English theoretical physicist and cosmologist
Adrian Lamo,/wiki/Adrian_Lamo,1981,2017,March 14,Colombian-American computer hacker
Liam O'Flynn,/wiki/Liam_O%27Flynn,1945,2017,March 14,Irish uilleann piper
Louise Slaughter,/wiki/Louise_Slaughter,1929,2017,March 16,American politician
March 17,/wiki/March_17,1933,2017,Millennium,5th Prime Minister of Vietnam
Prime Minister of Djibouti,/wiki/Prime_Minister_of_Djibouti,1930,2017,Barkat Gourad Hamadou,4th Prime Minister of Djibouti
Li Ao,/wiki/Li_Ao,1935,2017,March 18,Chinese-Taiwanese writer and politician
"Ivor Richard, Baron Richard","/wiki/Ivor_Richard,_Baron_Richard",1932,2017,March 18,"Baron Richard, English politician"
Irina Beglyakova,/wiki/Irina_Beglyakova,1933,2017,March 19,Russian athlete
Keith O'Brien,/wiki/Keith_O%27Brien,1938,2017,March 19,Scottish cardinal
Kedarnath Singh,/wiki/Kedarnath_Singh,1934,2017,March 19,Indian poet
Katie Boyle,/wiki/Katie_Boyle,1926,2017,March 20,Italian-English actress
Peter George Peterson,/wiki/Peter_George_Peterson,1926,2017,March 20,American banker
William Smith,/wiki/William_Smith_(wrestler),1928,2017,March 20,American Olympic wrestler
René Houseman,/wiki/Ren%C3%A9_Houseman,1953,2017,March 22,Argentine footballer
Johan van Hulst,/wiki/Johan_van_Hulst,1911,2017,March 22,"Dutch politician, author, and academic"
Morgana King,/wiki/Morgana_King,1930,2017,March 22,American jazz singer and actress
DuShon Monique Brown,/wiki/DuShon_Monique_Brown,1968,2017,March 23,American actress
Debbie Lee Carrington,/wiki/Debbie_Lee_Carrington,1959,2017,March 23,American actress
Philip Kerr,/wiki/Philip_Kerr,1956,2017,March 23,English author
Zell Miller,/wiki/Zell_Miller,1932,2017,March 23,American politician
Delores Taylor,/wiki/Delores_Taylor,1932,2017,March 23,"American actress, writer, and producer"
José Antonio Abreu,/wiki/Jos%C3%A9_Antonio_Abreu,1939,2017,March 24,Venezuelan conductor and politician
Lys Assia,/wiki/Lys_Assia,1924,2017,March 24,Swiss singer
Rim Banna,/wiki/Rim_Banna,1966,2017,March 24,Palestinian singer and activist
Bill Lucas,/wiki/Bill_Lucas_(runner),1917,2017,March 24,Bill Lucas British RAF officer and Olympic long-distance runner
Linda Carol Brown,/wiki/Linda_Carol_Brown,1943,2017,March 25,American campaigner for equality in education
1958,/wiki/1958,importance?,2017,Fabrizio Frizzi,Italian television presenter
Sergei Mavrodi,/wiki/Sergei_Mavrodi,1955,2017,March 26,Russian criminal and politician
Stéphane Audran,/wiki/St%C3%A9phane_Audran,1932,2017,March 27,French actress
Kenny O'Dell,/wiki/Kenny_O%27Dell,1944,2017,March 27,American country music singer
Lívia Rév,/wiki/L%C3%ADvia_R%C3%A9v,1916,2017,March 28,Hungarian pianist
Rusty Staub,/wiki/Rusty_Staub,1944,2017,March 29,American baseball player
Aureliano Bolognesi,/wiki/Aureliano_Bolognesi,1930,2017,March 30,Italian Olympic boxer
Saul Cherniack,/wiki/Saul_Cherniack,1917,2017,March 30,Canadian politician and lawyer
Drue Heinz,/wiki/Drue_Heinz,1915,2017,March 30,American literary publisher
Sabahudin Kurt,/wiki/Sabahudin_Kurt,1935,2017,March 30,Bosnian singer
Prime Minister of the Democratic Republic of the Congo,/wiki/Prime_Minister_of_the_Democratic_Republic_of_the_Congo,1934,2017,André Bo-Boliko Lokonga,9th Prime Minister of the Democratic Republic of the Congo
Bill Maynard,/wiki/Bill_Maynard,1928,2017,March 30,English comedian and actor
Steven Bochco,/wiki/Steven_Bochco,1943,2017,April 1,American television producer
President of Guatemala,/wiki/President_of_Guatemala,1926,2017,Efraín Ríos Montt,26th President of Guatemala
Susan Anspach,/wiki/Susan_Anspach,1942,2017,April 2,American actress
Morris Halle,/wiki/Morris_Halle,1923,2017,April 2,Latvian-American linguist
Winnie Madikizela-Mandela,/wiki/Winnie_Madikizela-Mandela,1936,2017,April 2,South African activist and politician
Lill-Babs,/wiki/Lill-Babs,1938,2017,April 3,Swedish singer
Charles McDew,/wiki/Charles_McDew,1938,2017,April 3,American professor and civil rights activist
Irma Rapuzzi,/wiki/Irma_Rapuzzi,1910,2017,April 3,French politician
Ignatius Peter VIII Abdalahad,/wiki/Ignatius_Peter_VIII_Abdalahad,1930,2017,April 4,Syrian hierarch
Gertrude Jeannette,/wiki/Gertrude_Jeannette,1914,2017,April 4,American actress
Soon-Tek Oh,/wiki/Soon-Tek_Oh,1932,2017,April 4,Korean-American actor
Johnny Valiant,/wiki/Johnny_Valiant,1946,2017,April 4,American professional wrestler and manager
Ray Wilkins,/wiki/Ray_Wilkins,1956,2017,April 4,English footballer and manager
Eric Bristow,/wiki/Eric_Bristow,1957,2017,April 5,English darts player
Cynthia Chalk,/wiki/Cynthia_Chalk,1913,2017,April 5,Canadian photographer
Tim O'Connor,/wiki/Tim_O%27Connor_(actor),1927,2017,April 5,American actor
Branislav Pokrajac,/wiki/Branislav_Pokrajac,1947,2017,April 5,Serbian Olympic handball player
Frederick D. Reese,/wiki/Frederick_D._Reese,1929,2017,April 5,"American civil rights activist, teacher, and minister"
Isao Takahata,/wiki/Isao_Takahata,1935,2017,April 5,"Japanese film director, animator, screenwriter, and producer"
Cecil Taylor,/wiki/Cecil_Taylor,1929,2017,April 5,American pianist and poet
Daniel Akaka,/wiki/Daniel_Akaka,1924,2017,April 6,American educator and politician
Aleksandr Kurlovich,/wiki/Aleksandr_Kurlovich,1961,2017,April 6,Soviet-Belarusian Olympic weightlifter
Peter Grünberg,/wiki/Peter_Gr%C3%BCnberg,1939,2017,April 7,German Nobel physicist
Leila Abashidze,/wiki/Leila_Abashidze,1929,2017,April 8,"Georgian actress, director, and writer"
André Lerond,/wiki/Andr%C3%A9_Lerond,1930,2017,April 8,French footballer
Chuck McCann,/wiki/Chuck_McCann,1934,2017,April 8,American actor
John Miles,/wiki/John_Miles_(racing_driver),1943,2017,April 8,English racing driver
Edelgard Huber von Gersdorff,/wiki/Edelgard_Huber_von_Gersdorff,1905,2017,April 9,German supercentenarian
Zola Skweyiya,/wiki/Zola_Skweyiya,1942,2017,April 11,South African politician
Sergio Pitol,/wiki/Sergio_Pitol,1933,2017,April 12,Mexican novelist and translator
Art Bell,/wiki/Art_Bell,1945,2017,April 13,American broadcaster and author
Miloš Forman,/wiki/Milo%C5%A1_Forman,1932,2017,April 13,Czech-American film director
Hal Greer,/wiki/Hal_Greer,1936,2017,April 14,American basketball player
Jean-Claude Malgoire,/wiki/Jean-Claude_Malgoire,1940,2017,April 14,French conductor
R. Lee Ermey,/wiki/R._Lee_Ermey,1944,2017,April 15,American actor
Michael Halliday,/wiki/Michael_Halliday,1925,2017,April 15,English-Australian linguist
Harry Anderson,/wiki/Harry_Anderson,1952,2017,April 16,American actor and magician
Choi Eun-hee,/wiki/Choi_Eun-hee,1926,2017,April 16,South Korean actress
Pamela Gidley,/wiki/Pamela_Gidley,1965,2017,April 16,American actress and model
Dona Ivone Lara,/wiki/Dona_Ivone_Lara,1921,2017,April 16,Brazilian singer and composer
First Lady of the United States,/wiki/First_Lady_of_the_United_States,1925,2017,Barbara Bush,First Lady of the United States
Karl Rawer,/wiki/Karl_Rawer,1913,2017,April 17,German physicist
Judith Révész,/wiki/Judith_R%C3%A9v%C3%A9sz,1915,2017,April 17,Hungarian-Dutch potter and sculptor
Randy Scruggs,/wiki/Randy_Scruggs,1953,2017,April 17,American country music singer
Bruno Sammartino,/wiki/Bruno_Sammartino,1935,2017,April 18,Italian professional wrestler
Vladimir Lyakhov,/wiki/Vladimir_Lyakhov,1941,2017,April 19,Soviet and Russian cosmonaut
Agnès-Marie Valois,/wiki/Agn%C3%A8s-Marie_Valois,1914,2017,April 19,French nun and World War II nurse
Avicii,/wiki/Avicii,1989,2017,April 20,Swedish DJ
Roy Bentley,/wiki/Roy_Bentley,1924,2017,April 20,English footballer
James F. Sirmons,/wiki/James_F._Sirmons,1917,2017,April 20,American broadcasting executive
Nabi Tajima,/wiki/Nabi_Tajima,1900,2017,April 21,Japanese supercentenarian
Verne Troyer,/wiki/Verne_Troyer,1969,2017,April 21,American actor
Bob Dorough,/wiki/Bob_Dorough,1923,2017,April 23,"American pianist, singer and composer"
Henri Michel,/wiki/Henri_Michel,1947,2017,April 24,French footballer and coach
Abbas,/wiki/Abbas_(photographer),1944,2017,April 25,Iranian photographer
Shuhrat Abbosov,/wiki/Shuhrat_Abbosov,1931,2017,April 25,"Uzbek actor, director and screenwriter"
Michael Anderson,/wiki/Michael_Anderson_(director),1920,2017,April 25,English film director
Yoshinobu Ishii,/wiki/Yoshinobu_Ishii,1939,2017,April 26,Japanese footballer
Charles Neville,/wiki/Charles_Neville_(musician),1938,2017,April 26,American R&B and jazz musician
Gianfranco Parolini,/wiki/Gianfranco_Parolini,1925,2017,April 26,Italian film director
President of Guatemala,/wiki/President_of_Guatemala,1946,2017,Álvaro Arzú,32nd President of Guatemala
Kristin Nelson,/wiki/Kristin_Nelson,1945,2017,April 27,"American primitive painter, actress, and author"
Paul Junger Witt,/wiki/Paul_Junger_Witt,1941,2017,April 27,American producer
Larry Harvey,/wiki/Larry_Harvey,1948,2017,April 28,"American artist, philanthropist, and activist"
"Michael Martin, Baron Martin of Springburn","/wiki/Michael_Martin,_Baron_Martin_of_Springburn",1945,2017,April 29,"Baron Martin of Springburn, Scottish politician"
President of Bolivia,/wiki/President_of_Bolivia,1929,2017,Luis García Meza,68th President of Bolivia
Lester James Peries,/wiki/Lester_James_Peries,1919,2017,April 29,Sri Lankan film director
Robert Mandan,/wiki/Robert_Mandan,1932,2017,April 29,American actor
"John ""Jabo"" Starks",/wiki/John_%22Jabo%22_Starks,1937,2017,May 1,American drummer
Wanda Wiłkomirska,/wiki/Wanda_Wi%C5%82komirska,1929,2017,May 1,Polish violinist and teacher
Wang Danfeng,/wiki/Wang_Danfeng,1924,2017,May 2,Chinese actress
Afonso Dhlakama,/wiki/Afonso_Dhlakama,1953,2017,May 3,Mozambican politician
Renate Dorrestein,/wiki/Renate_Dorrestein,1954,2017,May 4,Dutch writer and journalist
"Patricia Lascelles, Countess of Harewood","/wiki/Patricia_Lascelles,_Countess_of_Harewood",1926,2017,May 4,"Countess of Harewood, Australian-British violinist and fashion model"
Ermanno Olmi,/wiki/Ermanno_Olmi,1931,2017,May 5,Italian film director and screenwriter
Maurane,/wiki/Maurane,1960,2017,May 7,Belgian singer and actress
Anne V. Coates,/wiki/Anne_V._Coates,1925,2017,May 8,British film editor
George Deukmejian,/wiki/George_Deukmejian,1928,2017,May 8,American politician
Per Kirkeby,/wiki/Per_Kirkeby,1938,2017,May 9,Danish artist
David Goodall,/wiki/David_Goodall_(botanist),1914,2017,May 10,English-Australian scientist
Scott Hutchison,/wiki/Scott_Hutchison,1981,2017,May 10,Scottish musician
Gérard Genette,/wiki/G%C3%A9rard_Genette,1930,2017,May 11,French literary theorist
Tessa Jowell,/wiki/Tessa_Jowell,1947,2017,May 12,British politician
Antonio Mercero,/wiki/Antonio_Mercero,1936,2017,May 12,Spanish film and television director
Dennis Nilsen,/wiki/Dennis_Nilsen,1945,2017,May 12,Scottish serial killer
Glenn Branca,/wiki/Glenn_Branca,1948,2017,May 13,American composer and musician
Margot Kidder,/wiki/Margot_Kidder,1948,2017,May 13,Canadian-American actress and activist
Elaine Edwards,/wiki/Elaine_Edwards,1929,2017,May 14,American politician
E. C. George Sudarshan,/wiki/E._C._George_Sudarshan,1931,2017,May 14,Indian theoretical physicist
William Vance,/wiki/William_Vance,1935,2017,May 14,Belgian comics artist
Tom Wolfe,/wiki/Tom_Wolfe,1930,2017,May 14,American author and journalist
Jlloyd Samuel,/wiki/Jlloyd_Samuel,1981,2017,May 15,Trinidadian footballer
Ray Wilson,/wiki/Ray_Wilson_(English_footballer),1934,2017,May 15,English footballer
Joseph Campanella,/wiki/Joseph_Campanella,1924,2017,May 16,American actor
Hugh Dane,/wiki/Hugh_Dane,1942,2017,May 16,American actor
Lucian Pintilie,/wiki/Lucian_Pintilie,1933,2017,May 16,Romanian film director
Nicole Fontaine,/wiki/Nicole_Fontaine,1942,2017,May 17,French politician
Richard Pipes,/wiki/Richard_Pipes,1923,2017,May 17,Polish-American academic and historian
John Carrick,/wiki/John_Carrick_(Australian_politician),1918,2017,May 18,Australian politician
Darío Castrillón Hoyos,/wiki/Dar%C3%ADo_Castrill%C3%B3n_Hoyos,1929,2017,May 18,Colombian cardinal
Robert Indiana,/wiki/Robert_Indiana,1928,2017,May 19,American artist
Bernard Lewis,/wiki/Bernard_Lewis,1916,2017,May 19,British-American historian
Patricia Morison,/wiki/Patricia_Morison,1915,2017,May 20,American actress
Anna Maria Ferrero,/wiki/Anna_Maria_Ferrero,1934,2017,May 21,Italian actress
Allyn Ann McLerie,/wiki/Allyn_Ann_McLerie,1926,2017,May 21,"Canadian-American actress, singer, and dancer"
Clint Walker,/wiki/Clint_Walker,1927,2017,May 21,American actor
Philip Roth,/wiki/Philip_Roth,1933,2017,May 22,American writer
Luis Posada Carriles,/wiki/Luis_Posada_Carriles,1928,2017,May 23,Cuban terrorist
Gudrun Burwitz,/wiki/Gudrun_Burwitz,1929,2017,May 24,German Neo-Nazi militant
Jerry Maren,/wiki/Jerry_Maren,1920,2017,May 24,American actor
TotalBiscuit,/wiki/TotalBiscuit,1984,2017,May 24,British gaming commentator and critic
Bill Mallory,/wiki/Bill_Mallory,1935,2017,May 25,American football player and coach
Naser Malek Motiei,/wiki/Naser_Malek_Motiei,1930,2017,May 25,Iranian actor
Alan Bean,/wiki/Alan_Bean,1932,2017,May 26,American astronaut
Ted Dabney,/wiki/Ted_Dabney,1937,2017,May 26,American engineer
Roger Piantoni,/wiki/Roger_Piantoni,1931,2017,May 26,French footballer
Gardner Dozois,/wiki/Gardner_Dozois,1947,2017,May 27,American science fiction writer
Prime Minister of Egypt,/wiki/Prime_Minister_of_Egypt,1935,2017,Aly Lotfy Mahmoud,44th Prime Minister of Egypt
Donald H. Peterson,/wiki/Donald_H._Peterson,1933,2017,May 27,American astronaut
Paulette Coquatrix,/wiki/Paulette_Coquatrix,1916,2017,May 28,French costume designer
Serge Dassault,/wiki/Serge_Dassault,1925,2017,May 28,French businessman and politician
Cornelia Frances,/wiki/Cornelia_Frances,1941,2017,May 28,English-Australian actress
María Dolores Pradera,/wiki/Mar%C3%ADa_Dolores_Pradera,1924,2017,May 28,Spanish singer and actress
Dick Quax,/wiki/Dick_Quax,1948,2017,May 28,Dutch-New Zealand Olympic athlete
Jens Christian Skou,/wiki/Jens_Christian_Skou,1918,2017,May 28,Danish medical doctor and Nobel Prize laureate
Prime Minister of Sweden,/wiki/Prime_Minister_of_Sweden,1931,2017,Ola Ullsten,28th Prime Minister of Sweden
Eddy Clearwater,/wiki/Eddy_Clearwater,1935,2017,June 1,American musician and singer
