name,link,year_of_birth,year_of_death,date_of_death,description
Winnie Madikizela-Mandela,/wiki/Winnie_Madikizela-Mandela,1936,2015,April 2,South African activist and politician
Lill-Babs,/wiki/Lill-Babs,1938,2015,April 3,Swedish singer
Charles McDew,/wiki/Charles_McDew,1938,2015,April 3,American professor and civil rights activist
Irma Rapuzzi,/wiki/Irma_Rapuzzi,1910,2015,April 3,French politician
Ignatius Peter VIII Abdalahad,/wiki/Ignatius_Peter_VIII_Abdalahad,1930,2015,April 4,Syrian hierarch
Gertrude Jeannette,/wiki/Gertrude_Jeannette,1914,2015,April 4,American actress
Soon-Tek Oh,/wiki/Soon-Tek_Oh,1932,2015,April 4,Korean-American actor
Johnny Valiant,/wiki/Johnny_Valiant,1946,2015,April 4,American professional wrestler and manager
Ray Wilkins,/wiki/Ray_Wilkins,1956,2015,April 4,English footballer and manager
Eric Bristow,/wiki/Eric_Bristow,1957,2015,April 5,English darts player
Cynthia Chalk,/wiki/Cynthia_Chalk,1913,2015,April 5,Canadian photographer
Tim O'Connor,/wiki/Tim_O%27Connor_(actor),1927,2015,April 5,American actor
Branislav Pokrajac,/wiki/Branislav_Pokrajac,1947,2015,April 5,Serbian Olympic handball player
Frederick D. Reese,/wiki/Frederick_D._Reese,1929,2015,April 5,"American civil rights activist, teacher, and minister"
Isao Takahata,/wiki/Isao_Takahata,1935,2015,April 5,"Japanese film director, animator, screenwriter, and producer"
Cecil Taylor,/wiki/Cecil_Taylor,1929,2015,April 5,American pianist and poet
Daniel Akaka,/wiki/Daniel_Akaka,1924,2015,April 6,American educator and politician
Aleksandr Kurlovich,/wiki/Aleksandr_Kurlovich,1961,2015,April 6,Soviet-Belarusian Olympic weightlifter
Peter Grünberg,/wiki/Peter_Gr%C3%BCnberg,1939,2015,April 7,German Nobel physicist
Leila Abashidze,/wiki/Leila_Abashidze,1929,2015,April 8,"Georgian actress, director, and writer"
André Lerond,/wiki/Andr%C3%A9_Lerond,1930,2015,April 8,French footballer
Chuck McCann,/wiki/Chuck_McCann,1934,2015,April 8,American actor
John Miles,/wiki/John_Miles_(racing_driver),1943,2015,April 8,English racing driver
Edelgard Huber von Gersdorff,/wiki/Edelgard_Huber_von_Gersdorff,1905,2015,April 9,German supercentenarian
Zola Skweyiya,/wiki/Zola_Skweyiya,1942,2015,April 11,South African politician
Sergio Pitol,/wiki/Sergio_Pitol,1933,2015,April 12,Mexican novelist and translator
Art Bell,/wiki/Art_Bell,1945,2015,April 13,American broadcaster and author
Miloš Forman,/wiki/Milo%C5%A1_Forman,1932,2015,April 13,Czech-American film director
Hal Greer,/wiki/Hal_Greer,1936,2015,April 14,American basketball player
Jean-Claude Malgoire,/wiki/Jean-Claude_Malgoire,1940,2015,April 14,French conductor
R. Lee Ermey,/wiki/R._Lee_Ermey,1944,2015,April 15,American actor
Michael Halliday,/wiki/Michael_Halliday,1925,2015,April 15,English-Australian linguist
Harry Anderson,/wiki/Harry_Anderson,1952,2015,April 16,American actor and magician
Choi Eun-hee,/wiki/Choi_Eun-hee,1926,2015,April 16,South Korean actress
Pamela Gidley,/wiki/Pamela_Gidley,1965,2015,April 16,American actress and model
Dona Ivone Lara,/wiki/Dona_Ivone_Lara,1921,2015,April 16,Brazilian singer and composer
First Lady of the United States,/wiki/First_Lady_of_the_United_States,1925,2015,Barbara Bush,First Lady of the United States
Karl Rawer,/wiki/Karl_Rawer,1913,2015,April 17,German physicist
Judith Révész,/wiki/Judith_R%C3%A9v%C3%A9sz,1915,2015,April 17,Hungarian-Dutch potter and sculptor
Randy Scruggs,/wiki/Randy_Scruggs,1953,2015,April 17,American country music singer
Bruno Sammartino,/wiki/Bruno_Sammartino,1935,2015,April 18,Italian professional wrestler
Vladimir Lyakhov,/wiki/Vladimir_Lyakhov,1941,2015,April 19,Soviet and Russian cosmonaut
Agnès-Marie Valois,/wiki/Agn%C3%A8s-Marie_Valois,1914,2015,April 19,French nun and World War II nurse
Avicii,/wiki/Avicii,1989,2015,April 20,Swedish DJ
Roy Bentley,/wiki/Roy_Bentley,1924,2015,April 20,English footballer
James F. Sirmons,/wiki/James_F._Sirmons,1917,2015,April 20,American broadcasting executive
Nabi Tajima,/wiki/Nabi_Tajima,1900,2015,April 21,Japanese supercentenarian
Verne Troyer,/wiki/Verne_Troyer,1969,2015,April 21,American actor
Bob Dorough,/wiki/Bob_Dorough,1923,2015,April 23,"American pianist, singer and composer"
Henri Michel,/wiki/Henri_Michel,1947,2015,April 24,French footballer and coach
Abbas,/wiki/Abbas_(photographer),1944,2015,April 25,Iranian photographer
Shuhrat Abbosov,/wiki/Shuhrat_Abbosov,1931,2015,April 25,"Uzbek actor, director and screenwriter"
Michael Anderson,/wiki/Michael_Anderson_(director),1920,2015,April 25,English film director
Yoshinobu Ishii,/wiki/Yoshinobu_Ishii,1939,2015,April 26,Japanese footballer
Charles Neville,/wiki/Charles_Neville_(musician),1938,2015,April 26,American R&B and jazz musician
Gianfranco Parolini,/wiki/Gianfranco_Parolini,1925,2015,April 26,Italian film director
President of Guatemala,/wiki/President_of_Guatemala,1946,2015,Álvaro Arzú,32nd President of Guatemala
Kristin Nelson,/wiki/Kristin_Nelson,1945,2015,April 27,"American primitive painter, actress, and author"
Paul Junger Witt,/wiki/Paul_Junger_Witt,1941,2015,April 27,American producer
Larry Harvey,/wiki/Larry_Harvey,1948,2015,April 28,"American artist, philanthropist, and activist"
"Michael Martin, Baron Martin of Springburn","/wiki/Michael_Martin,_Baron_Martin_of_Springburn",1945,2015,April 29,"Baron Martin of Springburn, Scottish politician"
President of Bolivia,/wiki/President_of_Bolivia,1929,2015,Luis García Meza,68th President of Bolivia
Lester James Peries,/wiki/Lester_James_Peries,1919,2015,April 29,Sri Lankan film director
Robert Mandan,/wiki/Robert_Mandan,1932,2015,April 29,American actor
"John ""Jabo"" Starks",/wiki/John_%22Jabo%22_Starks,1937,2015,May 1,American drummer
Wanda Wiłkomirska,/wiki/Wanda_Wi%C5%82komirska,1929,2015,May 1,Polish violinist and teacher
Wang Danfeng,/wiki/Wang_Danfeng,1924,2015,May 2,Chinese actress
Afonso Dhlakama,/wiki/Afonso_Dhlakama,1953,2015,May 3,Mozambican politician
Renate Dorrestein,/wiki/Renate_Dorrestein,1954,2015,May 4,Dutch writer and journalist
"Patricia Lascelles, Countess of Harewood","/wiki/Patricia_Lascelles,_Countess_of_Harewood",1926,2015,May 4,"Countess of Harewood, Australian-British violinist and fashion model"
Ermanno Olmi,/wiki/Ermanno_Olmi,1931,2015,May 5,Italian film director and screenwriter
Maurane,/wiki/Maurane,1960,2015,May 7,Belgian singer and actress
Anne V. Coates,/wiki/Anne_V._Coates,1925,2015,May 8,British film editor
George Deukmejian,/wiki/George_Deukmejian,1928,2015,May 8,American politician
Per Kirkeby,/wiki/Per_Kirkeby,1938,2015,May 9,Danish artist
David Goodall,/wiki/David_Goodall_(botanist),1914,2015,May 10,English-Australian scientist
Scott Hutchison,/wiki/Scott_Hutchison,1981,2015,May 10,Scottish musician
Gérard Genette,/wiki/G%C3%A9rard_Genette,1930,2015,May 11,French literary theorist
Tessa Jowell,/wiki/Tessa_Jowell,1947,2015,May 12,British politician
Antonio Mercero,/wiki/Antonio_Mercero,1936,2015,May 12,Spanish film and television director
Dennis Nilsen,/wiki/Dennis_Nilsen,1945,2015,May 12,Scottish serial killer
Glenn Branca,/wiki/Glenn_Branca,1948,2015,May 13,American composer and musician
Margot Kidder,/wiki/Margot_Kidder,1948,2015,May 13,Canadian-American actress and activist
Elaine Edwards,/wiki/Elaine_Edwards,1929,2015,May 14,American politician
E. C. George Sudarshan,/wiki/E._C._George_Sudarshan,1931,2015,May 14,Indian theoretical physicist
William Vance,/wiki/William_Vance,1935,2015,May 14,Belgian comics artist
Tom Wolfe,/wiki/Tom_Wolfe,1930,2015,May 14,American author and journalist
Jlloyd Samuel,/wiki/Jlloyd_Samuel,1981,2015,May 15,Trinidadian footballer
Ray Wilson,/wiki/Ray_Wilson_(English_footballer),1934,2015,May 15,English footballer
Joseph Campanella,/wiki/Joseph_Campanella,1924,2015,May 16,American actor
Hugh Dane,/wiki/Hugh_Dane,1942,2015,May 16,American actor
Lucian Pintilie,/wiki/Lucian_Pintilie,1933,2015,May 16,Romanian film director
Nicole Fontaine,/wiki/Nicole_Fontaine,1942,2015,May 17,French politician
Richard Pipes,/wiki/Richard_Pipes,1923,2015,May 17,Polish-American academic and historian
John Carrick,/wiki/John_Carrick_(Australian_politician),1918,2015,May 18,Australian politician
Darío Castrillón Hoyos,/wiki/Dar%C3%ADo_Castrill%C3%B3n_Hoyos,1929,2015,May 18,Colombian cardinal
Robert Indiana,/wiki/Robert_Indiana,1928,2015,May 19,American artist
Bernard Lewis,/wiki/Bernard_Lewis,1916,2015,May 19,British-American historian
Patricia Morison,/wiki/Patricia_Morison,1915,2015,May 20,American actress
Anna Maria Ferrero,/wiki/Anna_Maria_Ferrero,1934,2015,May 21,Italian actress
Allyn Ann McLerie,/wiki/Allyn_Ann_McLerie,1926,2015,May 21,"Canadian-American actress, singer, and dancer"
Clint Walker,/wiki/Clint_Walker,1927,2015,May 21,American actor
Philip Roth,/wiki/Philip_Roth,1933,2015,May 22,American writer
Luis Posada Carriles,/wiki/Luis_Posada_Carriles,1928,2015,May 23,Cuban terrorist
Gudrun Burwitz,/wiki/Gudrun_Burwitz,1929,2015,May 24,German Neo-Nazi militant
Jerry Maren,/wiki/Jerry_Maren,1920,2015,May 24,American actor
TotalBiscuit,/wiki/TotalBiscuit,1984,2015,May 24,British gaming commentator and critic
Bill Mallory,/wiki/Bill_Mallory,1935,2015,May 25,American football player and coach
Naser Malek Motiei,/wiki/Naser_Malek_Motiei,1930,2015,May 25,Iranian actor
Alan Bean,/wiki/Alan_Bean,1932,2015,May 26,American astronaut
Ted Dabney,/wiki/Ted_Dabney,1937,2015,May 26,American engineer
Roger Piantoni,/wiki/Roger_Piantoni,1931,2015,May 26,French footballer
Gardner Dozois,/wiki/Gardner_Dozois,1947,2015,May 27,American science fiction writer
Prime Minister of Egypt,/wiki/Prime_Minister_of_Egypt,1935,2015,Aly Lotfy Mahmoud,44th Prime Minister of Egypt
Donald H. Peterson,/wiki/Donald_H._Peterson,1933,2015,May 27,American astronaut
Paulette Coquatrix,/wiki/Paulette_Coquatrix,1916,2015,May 28,French costume designer
Serge Dassault,/wiki/Serge_Dassault,1925,2015,May 28,French businessman and politician
Cornelia Frances,/wiki/Cornelia_Frances,1941,2015,May 28,English-Australian actress
María Dolores Pradera,/wiki/Mar%C3%ADa_Dolores_Pradera,1924,2015,May 28,Spanish singer and actress
Dick Quax,/wiki/Dick_Quax,1948,2015,May 28,Dutch-New Zealand Olympic athlete
Jens Christian Skou,/wiki/Jens_Christian_Skou,1918,2015,May 28,Danish medical doctor and Nobel Prize laureate
Prime Minister of Sweden,/wiki/Prime_Minister_of_Sweden,1931,2015,Ola Ullsten,28th Prime Minister of Sweden
Eddy Clearwater,/wiki/Eddy_Clearwater,1935,2015,June 1,American musician and singer
John Julius Norwich,/wiki/John_Julius_Norwich,1929,2015,June 1,English historian and writer
Sinan Sakić,/wiki/Sinan_Saki%C4%87,1956,2015,June 1,Serbian singer
Nobel Prize,/wiki/Nobel_Prize,1918,2015,Paul D. Boyer,American biochemist and Nobel Prize Laureate
Irenäus Eibl-Eibesfeldt,/wiki/Iren%C3%A4us_Eibl-Eibesfeldt,1928,2015,June 2,Austrian ethologist
Emil Wolf,/wiki/Emil_Wolf,1922,2015,June 2,Czech-American physicist
Frank Carlucci,/wiki/Frank_Carlucci,1930,2015,June 3,American politician
Miguel Obando y Bravo,/wiki/Miguel_Obando_y_Bravo,1926,2015,June 3,Nicaraguan cardinal
Kyra Petrovskaya Wayne,/wiki/Kyra_Petrovskaya_Wayne,1918,2015,June 3,Russian-born American author
Dwight Clark,/wiki/Dwight_Clark,1957,2015,June 4,American football player
Georg von Tiesenhausen,/wiki/Georg_von_Tiesenhausen,1914,2015,June 4,German-American rocket scientist
Kate Spade,/wiki/Kate_Spade,1962,2015,June 5,American fashion designer
Harry Walker,/wiki/Harry_Walker_(rugby_union),1915,2015,June 5,English rugby union player
George N. Leighton,/wiki/George_N._Leighton,1912,2015,June 6,American judge
Mateja Matevski,/wiki/Mateja_Matevski,1929,2015,June 6,Macedonian poet and writer
Kira Muratova,/wiki/Kira_Muratova,1934,2015,June 6,"Ukrainian director, screenwriter, and actress"
Spouse of the Prime Minister of the United Kingdom,/wiki/Spouse_of_the_Prime_Minister_of_the_United_Kingdom,1916,2015,"Mary Wilson, Baroness Wilson of Rievaulx","Baroness Wilson of Rievaulx, Spouse of the Prime Minister of the United Kingdom"
David Douglas Duncan,/wiki/David_Douglas_Duncan,1916,2015,June 7,American photojournalist
Arie den Hartog,/wiki/Arie_den_Hartog,1941,2015,June 7,Dutch road bicycle racer
Per Ahlmark,/wiki/Per_Ahlmark,1939,2015,June 8,Swedish politician and writer
Anthony Bourdain,/wiki/Anthony_Bourdain,1956,2015,June 8,"American chef, writer, and television personality"
Maria Bueno,/wiki/Maria_Bueno,1939,2015,June 8,Brazilian tennis player
Eunice Gayson,/wiki/Eunice_Gayson,1928,2015,June 8,English actress
Liu Yichang,/wiki/Liu_Yichang,1918,2015,June 8,Hong Kong writer and novelist
Reinhard Hardegen,/wiki/Reinhard_Hardegen,1913,2015,June 9,German U-boat commander
Fadil Vokrri,/wiki/Fadil_Vokrri,1960,2015,June 9,Kosovo-Albanian footballer
Neal E. Boyd,/wiki/Neal_E._Boyd,1975,2015,June 10,American pop opera singer
Stan Anderson,/wiki/Stan_Anderson,1933,2015,June 10,English footballer and manager
Dorothy Cotton,/wiki/Dorothy_Cotton,1930,2015,June 10,American civil rights activist
Tom McEwen,/wiki/Tom_McEwen_(drag_racer),1937,2015,June 10,American drag racer
Oscar Furlong,/wiki/Oscar_Furlong,1927,2015,June 11,Argentine basketball player
Roman Kłosowski,/wiki/Roman_K%C5%82osowski,1929,2015,June 11,Polish actor
Jon Hiseman,/wiki/Jon_Hiseman,1944,2015,June 12,English drummer
Anne Donovan,/wiki/Anne_Donovan,1961,2015,June 13,American basketball player
D. J. Fontana,/wiki/D._J._Fontana,1931,2015,June 13,American musician
Charles Vinci,/wiki/Charles_Vinci,1933,2015,June 13,American Olympic weightlifter
Tehrik-i-Taliban Pakistan,/wiki/Tehrik-i-Taliban_Pakistan,1974,2015,Fazlullah,"Pakistani terrorist, leader of Tehrik-i-Taliban Pakistan"
Stanislav Govorukhin,/wiki/Stanislav_Govorukhin,1936,2015,June 14,"Russian film director, screenwriter, and politician"
"Matt ""Guitar"" Murphy",/wiki/Matt_%22Guitar%22_Murphy,1929,2015,June 15,American blues guitarist
