project,access,agent,granularity,timestamp,views
en.wikipedia,all-access,user,daily,2016032500,232185561
en.wikipedia,all-access,user,daily,2016032600,227308696
en.wikipedia,all-access,user,daily,2016032700,242242368
en.wikipedia,all-access,user,daily,2016032800,261401980
en.wikipedia,all-access,user,daily,2016032900,255384415
en.wikipedia,all-access,user,daily,2016033000,247465256
en.wikipedia,all-access,user,daily,2016033100,241007634
en.wikipedia,all-access,user,daily,2016040100,231895897
en.wikipedia,all-access,user,daily,2016040200,226095951
en.wikipedia,all-access,user,daily,2016040300,246612722
en.wikipedia,all-access,user,daily,2016040400,261353883
en.wikipedia,all-access,user,daily,2016040500,255371954
en.wikipedia,all-access,user,daily,2016040600,256999315
en.wikipedia,all-access,user,daily,2016040700,250006184
en.wikipedia,all-access,user,daily,2016040800,240780622
en.wikipedia,all-access,user,daily,2016040900,230952517
en.wikipedia,all-access,user,daily,2016041000,251342861
en.wikipedia,all-access,user,daily,2016041100,262527959
en.wikipedia,all-access,user,daily,2016041200,256188251
en.wikipedia,all-access,user,daily,2016041300,253213753
en.wikipedia,all-access,user,daily,2016041400,250288090
en.wikipedia,all-access,user,daily,2016041500,237333229
en.wikipedia,all-access,user,daily,2016041600,223588274
en.wikipedia,all-access,user,daily,2016041700,241987790
en.wikipedia,all-access,user,daily,2016041800,256349699
en.wikipedia,all-access,user,daily,2016041900,252334836
en.wikipedia,all-access,user,daily,2016042000,250852464
en.wikipedia,all-access,user,daily,2016042100,260133337
en.wikipedia,all-access,user,daily,2016042200,249076207
en.wikipedia,all-access,user,daily,2016042300,232323811
en.wikipedia,all-access,user,daily,2016042400,251566158
en.wikipedia,all-access,user,daily,2016042500,261988295
en.wikipedia,all-access,user,daily,2016042600,255178452
en.wikipedia,all-access,user,daily,2016042700,251675502
en.wikipedia,all-access,user,daily,2016042800,252253918
en.wikipedia,all-access,user,daily,2016042900,235333155
en.wikipedia,all-access,user,daily,2016043000,222542773
en.wikipedia,all-access,user,daily,2016050100,241391608
en.wikipedia,all-access,user,daily,2016050200,260890463
en.wikipedia,all-access,user,daily,2016050300,254610194
en.wikipedia,all-access,user,daily,2016050400,247941140
en.wikipedia,all-access,user,daily,2016050500,242905182
en.wikipedia,all-access,user,daily,2016050600,236336998
en.wikipedia,all-access,user,daily,2016050700,223246032
en.wikipedia,all-access,user,daily,2016050800,242158949
en.wikipedia,all-access,user,daily,2016050900,260607274
en.wikipedia,all-access,user,daily,2016051000,255842683
en.wikipedia,all-access,user,daily,2016051100,247444574
en.wikipedia,all-access,user,daily,2016051200,244961105
en.wikipedia,all-access,user,daily,2016051300,234082081
en.wikipedia,all-access,user,daily,2016051400,225479744
en.wikipedia,all-access,user,daily,2016051500,247165065
en.wikipedia,all-access,user,daily,2016051600,259369171
en.wikipedia,all-access,user,daily,2016051700,254733024
en.wikipedia,all-access,user,daily,2016051800,254614683
en.wikipedia,all-access,user,daily,2016051900,248668568
en.wikipedia,all-access,user,daily,2016052000,236046676
en.wikipedia,all-access,user,daily,2016052100,234167547
en.wikipedia,all-access,user,daily,2016052200,246007304
en.wikipedia,all-access,user,daily,2016052300,261501272
en.wikipedia,all-access,user,daily,2016052400,251787588
en.wikipedia,all-access,user,daily,2016052500,244033524
en.wikipedia,all-access,user,daily,2016052600,240865723
en.wikipedia,all-access,user,daily,2016052700,228592262
en.wikipedia,all-access,user,daily,2016052800,219739986
en.wikipedia,all-access,user,daily,2016052900,235891576
en.wikipedia,all-access,user,daily,2016053000,252463692
en.wikipedia,all-access,user,daily,2016053100,253265642
en.wikipedia,all-access,user,daily,2016060100,248901189
en.wikipedia,all-access,user,daily,2016060200,241185957
en.wikipedia,all-access,user,daily,2016060300,234048378
en.wikipedia,all-access,user,daily,2016060400,228626696
en.wikipedia,all-access,user,daily,2016060500,246702328
en.wikipedia,all-access,user,daily,2016060600,254017496
en.wikipedia,all-access,user,daily,2016060700,246797333
en.wikipedia,all-access,user,daily,2016060800,242504016
en.wikipedia,all-access,user,daily,2016060900,238571379
en.wikipedia,all-access,user,daily,2016061000,232617890
en.wikipedia,all-access,user,daily,2016061100,227269657
en.wikipedia,all-access,user,daily,2016061200,244813008
en.wikipedia,all-access,user,daily,2016061300,258159156
en.wikipedia,all-access,user,daily,2016061400,254079280
en.wikipedia,all-access,user,daily,2016061500,246888728
en.wikipedia,all-access,user,daily,2016061600,241274155
en.wikipedia,all-access,user,daily,2016061700,229181666
en.wikipedia,all-access,user,daily,2016061800,221183237
en.wikipedia,all-access,user,daily,2016061900,239549663
en.wikipedia,all-access,user,daily,2016062000,256234564
en.wikipedia,all-access,user,daily,2016062100,243966805
en.wikipedia,all-access,user,daily,2016062200,242748001
en.wikipedia,all-access,user,daily,2016062300,240622474
en.wikipedia,all-access,user,daily,2016062400,231356506
en.wikipedia,all-access,user,daily,2016062500,224818865
en.wikipedia,all-access,user,daily,2016062600,242498627
en.wikipedia,all-access,user,daily,2016062700,252711895
en.wikipedia,all-access,user,daily,2016062800,249446880
en.wikipedia,all-access,user,daily,2016062900,242849368
en.wikipedia,all-access,user,daily,2016063000,240005459
en.wikipedia,all-access,user,daily,2016070100,241804741
en.wikipedia,all-access,user,daily,2016070200,224794485
en.wikipedia,all-access,user,daily,2016070300,237266890
en.wikipedia,all-access,user,daily,2016070400,249996817
en.wikipedia,all-access,user,daily,2016070500,250445583
en.wikipedia,all-access,user,daily,2016070600,252155601
en.wikipedia,all-access,user,daily,2016070700,238585409
en.wikipedia,all-access,user,daily,2016070800,225932995
en.wikipedia,all-access,user,daily,2016070900,224300692
en.wikipedia,all-access,user,daily,2016071000,245752393
en.wikipedia,all-access,user,daily,2016071100,254683088
en.wikipedia,all-access,user,daily,2016071200,243881621
en.wikipedia,all-access,user,daily,2016071300,238997287
en.wikipedia,all-access,user,daily,2016071400,236068499
en.wikipedia,all-access,user,daily,2016071500,227662280
en.wikipedia,all-access,user,daily,2016071600,217292237
en.wikipedia,all-access,user,daily,2016071700,235660595
en.wikipedia,all-access,user,daily,2016071800,246973419
en.wikipedia,all-access,user,daily,2016071900,245179753
en.wikipedia,all-access,user,daily,2016072000,253902565
en.wikipedia,all-access,user,daily,2016072100,265557325
en.wikipedia,all-access,user,daily,2016072200,269109396
en.wikipedia,all-access,user,daily,2016072300,261027786
en.wikipedia,all-access,user,daily,2016072400,281328293
en.wikipedia,all-access,user,daily,2016072500,291335371
en.wikipedia,all-access,user,daily,2016072600,293394875
en.wikipedia,all-access,user,daily,2016072700,285127976
en.wikipedia,all-access,user,daily,2016072800,280465494
en.wikipedia,all-access,user,daily,2016072900,269934559
en.wikipedia,all-access,user,daily,2016073000,262754852
en.wikipedia,all-access,user,daily,2016073100,283066712
en.wikipedia,all-access,user,daily,2016080100,292881747
en.wikipedia,all-access,user,daily,2016080200,286258855
en.wikipedia,all-access,user,daily,2016080300,271128871
en.wikipedia,all-access,user,daily,2016080400,262188893
en.wikipedia,all-access,user,daily,2016080500,259826779
en.wikipedia,all-access,user,daily,2016080600,261281980
en.wikipedia,all-access,user,daily,2016080700,273717513
en.wikipedia,all-access,user,daily,2016080800,292929547
en.wikipedia,all-access,user,daily,2016080900,284956360
en.wikipedia,all-access,user,daily,2016081000,287278721
en.wikipedia,all-access,user,daily,2016081100,280354188
en.wikipedia,all-access,user,daily,2016081200,273926218
en.wikipedia,all-access,user,daily,2016081300,265195926
en.wikipedia,all-access,user,daily,2016081400,281323235
en.wikipedia,all-access,user,daily,2016081500,294542405
en.wikipedia,all-access,user,daily,2016081600,278581691
en.wikipedia,all-access,user,daily,2016081700,245208844
en.wikipedia,all-access,user,daily,2016081800,241404262
en.wikipedia,all-access,user,daily,2016081900,237081349
en.wikipedia,all-access,user,daily,2016082000,230071220
en.wikipedia,all-access,user,daily,2016082100,258757502
en.wikipedia,all-access,user,daily,2016082200,269855610
en.wikipedia,all-access,user,daily,2016082300,259103984
en.wikipedia,all-access,user,daily,2016082400,254312565
en.wikipedia,all-access,user,daily,2016082500,249185469
en.wikipedia,all-access,user,daily,2016082600,239779709
en.wikipedia,all-access,user,daily,2016082700,232894562
en.wikipedia,all-access,user,daily,2016082800,252621204
en.wikipedia,all-access,user,daily,2016082900,272145406
en.wikipedia,all-access,user,daily,2016083000,264555564
en.wikipedia,all-access,user,daily,2016083100,257515340
en.wikipedia,all-access,user,daily,2016090100,246228881
en.wikipedia,all-access,user,daily,2016090200,240052151
en.wikipedia,all-access,user,daily,2016090300,232693094
en.wikipedia,all-access,user,daily,2016090400,247890219
en.wikipedia,all-access,user,daily,2016090500,260598537
en.wikipedia,all-access,user,daily,2016090600,260128965
en.wikipedia,all-access,user,daily,2016090700,250861869
en.wikipedia,all-access,user,daily,2016090800,248972700
en.wikipedia,all-access,user,daily,2016090900,240127421
en.wikipedia,all-access,user,daily,2016091000,239570081
en.wikipedia,all-access,user,daily,2016091100,257068888
en.wikipedia,all-access,user,daily,2016091200,261070789
en.wikipedia,all-access,user,daily,2016091300,264395680
en.wikipedia,all-access,user,daily,2016091400,256093867
en.wikipedia,all-access,user,daily,2016091500,257501567
en.wikipedia,all-access,user,daily,2016091600,236661946
en.wikipedia,all-access,user,daily,2016091700,231399992
en.wikipedia,all-access,user,daily,2016091800,255970775
en.wikipedia,all-access,user,daily,2016091900,272319435
en.wikipedia,all-access,user,daily,2016092000,259812357
en.wikipedia,all-access,user,daily,2016092100,257708299
en.wikipedia,all-access,user,daily,2016092200,263129254
en.wikipedia,all-access,user,daily,2016092300,246006088
en.wikipedia,all-access,user,daily,2016092400,229090708
en.wikipedia,all-access,user,daily,2016092500,249305106
en.wikipedia,all-access,user,daily,2016092600,266939174
en.wikipedia,all-access,user,daily,2016092700,253433321
en.wikipedia,all-access,user,daily,2016092800,256484106
en.wikipedia,all-access,user,daily,2016092900,251464707
en.wikipedia,all-access,user,daily,2016093000,235312302
en.wikipedia,all-access,user,daily,2016100100,230026797
en.wikipedia,all-access,user,daily,2016100200,251724281
en.wikipedia,all-access,user,daily,2016100300,266148371
en.wikipedia,all-access,user,daily,2016100400,262061405
en.wikipedia,all-access,user,daily,2016100500,262692798
en.wikipedia,all-access,user,daily,2016100600,261477215
en.wikipedia,all-access,user,daily,2016100700,239559729
en.wikipedia,all-access,user,daily,2016100800,233470530
en.wikipedia,all-access,user,daily,2016100900,255867067
en.wikipedia,all-access,user,daily,2016101000,261515473
en.wikipedia,all-access,user,daily,2016101100,258666727
en.wikipedia,all-access,user,daily,2016101200,260830090
en.wikipedia,all-access,user,daily,2016101300,260654640
en.wikipedia,all-access,user,daily,2016101400,247316781
en.wikipedia,all-access,user,daily,2016101500,240077584
en.wikipedia,all-access,user,daily,2016101600,260776650
en.wikipedia,all-access,user,daily,2016101700,274322059
en.wikipedia,all-access,user,daily,2016101800,268054358
en.wikipedia,all-access,user,daily,2016101900,262441534
en.wikipedia,all-access,user,daily,2016102000,255898226
en.wikipedia,all-access,user,daily,2016102100,246409757
en.wikipedia,all-access,user,daily,2016102200,234711255
en.wikipedia,all-access,user,daily,2016102300,255354029
en.wikipedia,all-access,user,daily,2016102400,271076811
en.wikipedia,all-access,user,daily,2016102500,262744058
en.wikipedia,all-access,user,daily,2016102600,255736117
en.wikipedia,all-access,user,daily,2016102700,253613969
en.wikipedia,all-access,user,daily,2016102800,235688281
en.wikipedia,all-access,user,daily,2016102900,226475807
en.wikipedia,all-access,user,daily,2016103000,251087997
en.wikipedia,all-access,user,daily,2016103100,264541185
en.wikipedia,all-access,user,daily,2016110100,259117309
en.wikipedia,all-access,user,daily,2016110200,265813382
en.wikipedia,all-access,user,daily,2016110300,269852547
en.wikipedia,all-access,user,daily,2016110400,255121069
en.wikipedia,all-access,user,daily,2016110500,247660614
en.wikipedia,all-access,user,daily,2016110600,268353857
en.wikipedia,all-access,user,daily,2016110700,278864476
en.wikipedia,all-access,user,daily,2016110800,273132227
en.wikipedia,all-access,user,daily,2016110900,279444029
en.wikipedia,all-access,user,daily,2016111000,271600847
en.wikipedia,all-access,user,daily,2016111100,262508529
